id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,has_review,estimated_revenue,minimum_nights_category,price_category,availability_category,month,season
10958141,50285972,Phra Khanong,13.69158,100.61383,Entire home/apt,762,150,2,2016-03-08,0.02,1,358,0,1,5334,Panjang (>30 hari),Rendah,Tinggi (>300 hari),3.0,Mid Season
11704547,10628048,Bang Na,13.66706,100.65242,Entire home/apt,500,5,31,2022-12-15,0.42,4,326,4,1,19500,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),12.0,High Season
11708077,57638350,Huai Khwang,13.7434,100.59337,Entire home/apt,9350,3,30,2020-01-25,0.37,2,0,0,1,3412750,Pendek (1-7 hari),Tinggi,Rendah (<100 hari),1.0,High Season
11718353,52988942,Vadhana,13.74567,100.55694,Entire home/apt,3100,21,24,2022-12-04,0.29,1,207,2,1,489800,Sedang (8-30 hari),Tinggi,Sedang (100-300 hari),12.0,High Season
11422901,6632570,Vadhana,13.71327,100.60187,Entire home/apt,1000,7,2,2019-10-25,0.02,2,357,0,1,8000,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),10.0,Low Season
11425056,60017041,Huai Khwang,13.7449,100.58784,Entire home/apt,1100,1,0,,0.0,1,354,0,0,12100,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),,Unknown
11722553,62202130,Phasi Charoen,13.69394,100.4307,Private room,2200,1,0,,0.0,1,365,0,0,0,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
11427334,13443260,Sathon,13.71657,100.53146,Entire home/apt,2078,2,22,2019-03-18,0.28,4,135,0,1,477940,Pendek (1-7 hari),Tinggi,Sedang (100-300 hari),3.0,Mid Season
11442492,60139633,Saphan Sung,13.75275,100.70146,Entire home/apt,999,1,0,,0.0,1,365,0,0,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
11722665,59874191,Pom Prap Sattru Phai,13.75784,100.5079,Entire home/apt,899,1,181,2022-12-11,2.19,10,331,13,1,30566,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),12.0,High Season
11742314,10950957,Phaya Thai,13.78976,100.55033,Private room,826,1,129,2022-12-13,1.57,4,362,1,1,2478,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),12.0,High Season
11742537,8444643,Vadhana,13.73781,100.57183,Entire home/apt,9999,2,2,2018-01-03,0.03,53,360,0,1,49995,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),1.0,High Season
11744420,48760682,Ratchathewi,13.75883,100.54322,Hotel room,1497,1,124,2022-08-02,1.5,11,330,2,1,52395,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),8.0,Low Season
11745937,8444643,Phra Nakhon,13.75749,100.49476,Entire home/apt,4500,1,22,2022-12-13,0.28,53,361,1,1,18000,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),12.0,High Season
11746507,8444643,Phra Nakhon,13.75823,100.49626,Entire home/apt,4500,1,36,2022-12-13,0.45,53,353,6,1,54000,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),12.0,High Season
11753619,48491149,Don Mueang,13.88852,100.59296,Private room,911,1,451,2022-12-26,5.7,5,356,3,1,8199,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),12.0,High Season
10973926,56936569,Sathon,13.72214,100.55029,Private room,3977,1,0,,0.0,1,364,0,0,3977,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),,Unknown
11443057,20794060,Din Daeng,13.75626,100.56208,Entire home/apt,1045,30,5,2022-12-10,0.1,1,306,2,1,61655,Sedang (8-30 hari),Sedang,Tinggi (>300 hari),12.0,High Season
10975245,1664026,Vadhana,13.74009,100.55741,Entire home/apt,3318,35,9,2016-06-06,0.11,1,0,0,1,1211070,Panjang (>30 hari),Tinggi,Rendah (<100 hari),6.0,Low Season
11760171,28625777,Huai Khwang,13.75525,100.57643,Entire home/apt,1000,30,2,2018-04-07,0.03,2,365,0,1,0,Sedang (8-30 hari),Rendah,Tinggi (>300 hari),4.0,Mid Season
11763947,37408973,Ratchathewi,13.75028,100.52632,Entire home/apt,1350,29,36,2022-11-07,0.44,2,193,4,1,232200,Sedang (8-30 hari),Sedang,Sedang (100-300 hari),11.0,High Season
11450866,31273394,Bang Kapi,13.74928,100.6066,Entire home/apt,860,3,27,2019-12-16,0.33,1,149,0,1,185760,Pendek (1-7 hari),Rendah,Sedang (100-300 hari),12.0,High Season
11764443,9024705,Vadhana,13.71306,100.60029,Entire home/apt,885,31,34,2022-09-19,0.43,1,237,4,1,113280,Panjang (>30 hari),Rendah,Sedang (100-300 hari),9.0,Low Season
11778899,62377000,Bang Rak,13.72368,100.52423,Entire home/apt,2954,1,120,2022-12-21,1.97,4,280,23,1,251090,Pendek (1-7 hari),Tinggi,Sedang (100-300 hari),12.0,High Season
11778915,43754076,Khlong San,13.72494,100.49627,Entire home/apt,1200,1,40,2022-12-23,0.79,2,149,7,1,259200,Pendek (1-7 hari),Sedang,Sedang (100-300 hari),12.0,High Season
11781761,62254557,Vadhana,13.73841,100.58389,Entire home/apt,1543,1,51,2022-09-17,0.62,1,358,10,1,10801,Pendek (1-7 hari),Sedang,Tinggi (>300 hari),9.0,Low Season
10981719,56976890,Phra Khanong,13.69113,100.61148,Private room,850,1,0,,0.0,1,365,0,0,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
11463487,58325990,Lat Krabang,13.72275,100.76368,Shared room,390,1,3,2018-10-02,0.04,13,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),10.0,Low Season
10981993,453474,Vadhana,13.70965,100.59973,Entire home/apt,550,14,14,2021-06-09,0.17,2,70,0,1,162250,Sedang (8-30 hari),Rendah,Rendah (<100 hari),6.0,Low Season
11002165,453474,Vadhana,13.71429,100.60092,Entire home/apt,550,10,9,2021-07-13,0.12,2,21,0,1,189200,Sedang (8-30 hari),Rendah,Rendah (<100 hari),7.0,Low Season
11784994,62755084,Vadhana,13.73577,100.58431,Entire home/apt,2700,4,54,2022-11-30,0.76,2,344,6,1,56700,Pendek (1-7 hari),Tinggi,Tinggi (>300 hari),11.0,High Season
11463605,58325990,Lat Krabang,13.72278,100.76429,Shared room,390,1,19,2019-01-27,0.23,13,364,0,1,390,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),1.0,High Season
11463631,58325990,Lat Krabang,13.72293,100.76385,Shared room,390,1,1,2017-04-27,0.01,13,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),4.0,Mid Season
11463682,58325990,Lat Krabang,13.72301,100.76446,Shared room,390,1,0,,0.0,13,365,0,0,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
11463737,58325990,Lat Krabang,13.72301,100.76451,Shared room,390,1,0,,0.0,13,365,0,0,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
11463777,58325990,Lat Krabang,13.72286,100.76387,Shared room,390,1,0,,0.0,13,365,0,0,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
11463842,58325990,Lat Krabang,13.72093,100.76454,Shared room,390,1,0,,0.0,13,365,0,0,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),,Unknown
11463875,58325990,Lat Krabang,13.72295,100.76525,Shared room,390,1,9,2018-10-01,0.11,13,365,0,1,0,Pendek (1-7 hari),Rendah,Tinggi (>300 hari),10.0,Low Season
